user_id,associate degree,bachelor degree,master's degree,others,phd
1,,top1000tr,top1000tr,,
2,,,,top1000tr,
3,,top1000tr,,,
4,,top1000tr,,,
5,,others,top1000tr,top30tr,
6,,,,top1000tr,
7,,,,top1000tr,
8,,top1000tr,,,
9,,top1000tr,,,
10,top30tr,top1000tr,,,
11,,top1000tr,,,
12,,top1000tr,others,,
13,,top1000tr,,,
14,,top1000tr,others,,
15,,top1000tr,,,
16,top30tr,top1000tr,,,
17,,,,top1000tr,
18,,top1000tr,,,
19,,top1000tr,,,
20,,top1000tr,,,
21,,,,top1000tr,
23,,top1000tr,,,
24,,top1000tr,,top30tr,
25,,top1000tr,,,
26,,top30tr,,,
27,,,,top1000tr,
28,,top1000tr,,,
29,,top1000tr,,,
30,,top1000tr,,,
31,,top1000tr,,,
32,,top1000tr,,,
33,,,,top1000tr,
34,,top1000tr,top1000tr,,others
35,,top1000tr,,,
36,top30tr,top1000tr,,others,
37,,,,top1000tr,
38,,top1000tr,,,
39,,top1000tr,top50tr,,
40,,top1000tr,,,
41,top30tr,,top1000tr,,
42,,top30tr,,top30tr,
43,,top1000tr,,,
44,,top1000tr,,,
45,,,,top1000tr,
46,,top1000tr,,,
47,,top1000tr,,,
48,,top1000tr,,,
49,,top1000tr,,,
50,,top1000tr,,,
51,,top1000tr,,,
52,,top1000tr,,,
53,,top1000tr,,,
54,,top1000tr,,,
55,,top1000tr,,,
56,,top1000tr,,,
57,,top1000tr,,,
58,,top1000tr,,,
59,,,top50tr,top1000tr,
60,,top1000tr,,,
61,,top1000tr,,,
62,,top1000tr,,,
63,,others,,,
64,,top1000tr,,,
65,,top1000tr,,,
66,,top1000tr,,others,
67,,top1000tr,,,
68,,,,others,
70,,top1000tr,,,
71,,top1000tr,,,
72,,top1000tr,,,
73,,,,top1000tr,
74,,top30tr,,,
75,,top1000tr,,,
76,,top1000tr,,,
77,,top1000tr,,,
78,,top1000tr,,,
79,,top1000tr,,,
80,top1000tr,,,,
81,,top1000tr,top1000tr,,
82,,top1000tr,,,
83,,top1000tr,,others,
84,,top1000tr,,,
86,,,,top1000tr,
87,,top1000tr,,,
88,,top1000tr,,,
89,,top1000tr,,,
91,,top1000tr,,,
92,,,,top1000tr,
93,,top1000tr,,,
94,,top1000tr,,,
95,,top1000tr,,,
96,,top1000tr,,,
97,,top1000tr,,,
98,,,,top1000tr,
99,,top1000tr,,,
100,,top1000tr,top1000tr,,
102,,,,top1000tr,
106,,top1000tr,,,
107,,,,top1000tr,
108,,top1000tr,,,
109,,top1000tr,,,
110,,top1000tr,,,
111,,top1000tr,,,
112,,top1000tr,,top30tr,
113,,top1000tr,,,
114,,top1000tr,,,
115,,top1000tr,,,
116,,top1000tr,,,
117,,top1000tr,,,
118,,,,top1000tr,
119,,top1000tr,,,
120,,,,top1000tr,
121,top1000tr,,,,
122,top30tr,top1000tr,,,
123,,top30tr,others,,
124,,top1000tr,,,
125,,,,top30tr,
126,,top1000tr,,,
127,,top1000tr,top1000tr,,
128,,top1000tr,,,
129,,,,top1000tr,
131,,,,top1000tr,
132,,top1000tr,top1000tr,,
133,,top1000tr,,,
134,,top1000tr,,,
135,,,,top1000tr,
136,,top1000tr,top50tr,,
137,,,others,,
138,,,,top1000tr,
139,,top1000tr,others,,
140,,,,top1000tr,
141,,top1000tr,,,
142,,top1000tr,,,
143,,top1000tr,,,
144,,,,top1000tr,
145,,,,top1000tr,
146,,top1000tr,,,
147,,top1000tr,,,
148,,top1000tr,top1000tr,,
149,,top1000tr,top1000tr,,
150,,,,top1000tr,
151,,,,top1000tr,
152,,top1000tr,,,
153,,top1000tr,top1000tr,,others
154,,top1000tr,,,
155,,top30tr,others,,
156,,top1000tr,top1000tr,,
157,,top1000tr,,,
158,top1000tr,,,,
159,,top1000tr,top50tr,,
160,,,,top1000tr,
161,,,,top1000tr,
162,,top30tr,,,
163,,top1000tr,,,
164,,top1000tr,,,
165,,top1000tr,others,,
166,,,,top1000tr,
167,,top1000tr,,,
168,,top1000tr,,top30tr,
169,,top1000tr,,,
170,,top1000tr,,,
171,top1000tr,,,,
172,,top1000tr,top1000tr,,
173,,top1000tr,top1000tr,,
174,,top1000tr,,,
175,,top1000tr,top30tr,,
176,,top1000tr,,top30tr,
177,,top1000tr,,others,
178,,top1000tr,,,
179,,top1000tr,,,
180,,,,top1000tr,
181,,top1000tr,,,
182,,,,top1000tr,
183,,top1000tr,,,
184,,top1000tr,,,
185,,top1000tr,,,
186,,top1000tr,,others,
187,,top1000tr,,,
188,,top1000tr,others,,
189,,top1000tr,,,
190,,top1000tr,,,
191,,top1000tr,,,
192,,top1000tr,,,
193,,top1000tr,,,
194,,top1000tr,others,,
195,,top1000tr,,,
197,,top1000tr,,,
198,,top1000tr,,,
199,,top1000tr,,,
200,,top1000tr,,,
201,,top1000tr,others,,
202,,,,top1000tr,
203,,,,top1000tr,
204,,top1000tr,,,
205,,top1000tr,,others,
206,,top1000tr,,,
207,others,top1000tr,,others,
209,,top1000tr,,,
210,,top1000tr,,top30tr,
212,,,,top1000tr,
213,,top1000tr,others,,
214,,top1000tr,top30tr,others,
215,,top1000tr,,,
217,,top1000tr,,,
218,,others,,,
219,,top1000tr,top50tr,,
220,,top1000tr,,top30tr,
222,,top1000tr,,,
223,,top1000tr,top1000tr,,
226,,top1000tr,,others,
227,,top1000tr,,,
228,,top1000tr,,,
229,,top1000tr,,,
230,,top1000tr,top30tr,,
231,,top1000tr,,,
232,,top1000tr,,,
233,,,,top1000tr,
235,,top1000tr,,others,
236,,top30tr,,top1000tr,
237,,,,top1000tr,
238,,top1000tr,,,
239,,top1000tr,others,,
240,others,top1000tr,,,
241,others,top1000tr,,top30tr,
242,,others,,,
243,others,top1000tr,others,,top30tr
244,,top1000tr,others,,
245,,top1000tr,,,
246,,top1000tr,,,
247,,top1000tr,,,
248,,top1000tr,,top30tr,
249,,others,,,
250,,top1000tr,,,
251,,top1000tr,top1000tr,,
254,,top1000tr,,,
255,,top1000tr,,top30tr,
256,,top1000tr,,top30tr,
257,,top1000tr,,,
258,,top1000tr,,,
259,,,,top1000tr,
260,,,,top1000tr,
261,,top1000tr,,,
262,,top1000tr,,,
264,,top1000tr,,,
265,,,,top1000tr,
267,,,,top1000tr,
268,,top1000tr,top1000tr,,
269,,,,top1000tr,
270,,top1000tr,top30tr,,
272,,top1000tr,,,
273,,top1000tr,,,
274,,top1000tr,,,
276,,,,top1000tr,
277,,top1000tr,,,
278,,top1000tr,,,
279,top30tr,top30tr,,top1000tr,
280,,top1000tr,,,
281,,top1000tr,,,
282,,others,,,
283,,top1000tr,,top1000tr,
284,,top1000tr,,,
285,,top1000tr,,,
286,,top1000tr,,,
288,,top1000tr,others,,
289,others,top1000tr,,,
290,top30tr,top1000tr,,others,
291,,top1000tr,,,
292,,top1000tr,,others,
293,,,,top1000tr,
294,,top1000tr,,top30tr,
295,,top1000tr,,,
296,,,,top1000tr,
297,,top1000tr,,,
298,,top1000tr,,,
299,,,,top1000tr,
300,,top1000tr,top30tr,others,
301,,top1000tr,,top30tr,
302,,top1000tr,,,
303,,others,,,
304,,top1000tr,,,
305,,top1000tr,,,
306,,top1000tr,,,
307,,top1000tr,,,
308,,top1000tr,,,
309,,top1000tr,,,
311,,top1000tr,,,
312,top30tr,top1000tr,,,
313,,,,top1000tr,
315,,top1000tr,,,
316,,top1000tr,,,
317,,,,top1000tr,
318,,top30tr,others,,
319,,top1000tr,,top30tr,
320,others,top1000tr,,,
321,,top1000tr,,,
322,,top1000tr,,,
323,,top1000tr,,,
324,,,,top1000tr,
325,,top1000tr,,top1000tr,
327,,top1000tr,,,
328,,top1000tr,,,
329,,top1000tr,,,
330,,,,top1000tr,
331,,top1000tr,,,
332,,top1000tr,,,
333,,top1000tr,,,
334,,top1000tr,,,
335,,,,top1000tr,
336,,top1000tr,,,
337,,,,top1000tr,
338,,top1000tr,,,
339,,top1000tr,top1000tr,,
340,,top30tr,,,
341,,top1000tr,,,
342,,,,top1000tr,
343,,top1000tr,,,
344,,top1000tr,,,
345,,,,top1000tr,
346,,top1000tr,,top30tr,
347,,top1000tr,,,
348,,top1000tr,,,
349,,top1000tr,,,
350,top30tr,top1000tr,,,
351,,,,top1000tr,
352,,top1000tr,top1000tr,,
353,,top1000tr,,,
354,,top1000tr,,top30tr,
355,,top1000tr,,,
356,,top1000tr,,others,
357,,top1000tr,,,
358,,top1000tr,top1000tr,,
359,,others,,,
360,,top1000tr,,,
361,,top1000tr,,,
362,,top1000tr,,,
364,,top1000tr,,,
365,,top1000tr,,,
366,,top1000tr,,,
368,,top1000tr,,,
369,,top1000tr,,,
370,,top1000tr,,,
371,,,,top1000tr,
372,,top1000tr,,others,
373,,top1000tr,,,
374,,top1000tr,,,
375,,top1000tr,,,
376,,top1000tr,,,
377,,top1000tr,,,
378,,,top30tr,top1000tr,
379,,,,top1000tr,
380,top30tr,top1000tr,,,
382,,top1000tr,,,
