user_id,company(1th),company(2th),company(3th),company(4th),company(5th),min_exp_time,max_exp_time,company_count_2018,company_count_2017,company_count_2016
0,0,0,,,,200509,200509,,,
2,10,7,9,,,201612,201806,1.0,2.0,3.0
5,15,,,,,201706,201706,,1.0,1.0
7,20,21,21,21,,201607,201812,1.0,3.0,4.0
10,26,26,27,,,201308,201805,2.0,2.0,2.0
11,29,30,,,,201708,201808,1.0,2.0,2.0
12,33,34,34,26,35,201307,201811,1.0,1.0,2.0
13,36,37,37,37,37,201103,201803,1.0,1.0,1.0
14,41,,,,,201403,201403,,,
16,45,,,,,201706,201706,,1.0,1.0
18,51,53,,,,201711,201809,1.0,2.0,2.0
22,59,,,,,201801,201801,1.0,1.0,1.0
24,65,,,,,201806,201806,1.0,1.0,1.0
25,68,,,,,201701,201701,,1.0,1.0
27,74,75,76,27,,200909,201808,1.0,1.0,1.0
31,84,85,,,,201708,201806,1.0,2.0,2.0
32,90,91,,,,201806,201812,2.0,2.0,2.0
34,93,94,95,96,,200605,201601,,,1.0
35,97,98,,,,201609,201702,,1.0,2.0
36,101,103,,,,201401,201601,,,1.0
38,106,,,,,201706,201706,,1.0,1.0
40,110,111,112,,,201307,201708,,1.0,1.0
42,114,,,,,201406,201406,,,
43,97,115,,,,201801,201811,2.0,2.0,2.0
46,117,118,119,,,201706,201808,1.0,3.0,3.0
49,128,129,,,,201705,201711,,2.0,2.0
55,139,140,141,142,,201408,201711,,1.0,1.0
56,146,147,148,149,,201206,201806,1.0,2.0,2.0
57,151,151,152,153,,200910,201808,1.0,1.0,1.0
59,157,,,,,201607,201607,,,1.0
60,159,,,,,201808,201808,1.0,1.0,1.0
61,88,161,,,,201707,201808,1.0,2.0,2.0
63,166,167,167,167,168,201106,201809,1.0,2.0,3.0
64,171,172,,,,201707,201807,1.0,2.0,2.0
65,174,,,,,201801,201801,1.0,1.0,1.0
67,26,177,,,,201507,201802,1.0,1.0,1.0
69,180,181,181,,,201507,201610,,,1.0
70,26,91,27,27,,201207,201810,2.0,2.0,2.0
72,5,190,,,,201206,201806,1.0,1.0,1.0
73,191,,,,,201810,201810,1.0,1.0,1.0
75,195,196,,,,201606,201802,1.0,1.0,2.0
81,204,205,,,,201506,201706,,1.0,1.0
85,213,,,,,201706,201706,,1.0,1.0
86,215,216,217,,,201207,201602,,,1.0
87,219,,,,,201806,201806,1.0,1.0,1.0
91,225,,,,,201706,201706,,1.0,1.0
92,226,227,228,,,201602,201707,,1.0,3.0
95,232,,,,,201807,201807,1.0,1.0,1.0
96,233,234,235,233,,201306,201711,,1.0,1.0
99,241,239,239,242,,201505,201806,2.0,2.0,3.0
100,260,253,231,257,258,200612,201801,1.0,2.0,2.0
102,263,264,,,,201508,201609,,,1.0
103,265,266,,,,201610,201712,,1.0,2.0
104,267,268,269,,,201207,201308,,,
105,270,,,,,200705,200705,,,
107,26,,,,,201605,201605,,,1.0
108,276,,,,,201811,201811,1.0,1.0,1.0
110,41,26,26,26,281,200909,201811,1.0,1.0,3.0
