user_id,AGILE,ANDROID,C++,DATABASE,DESIGNER,ENGINEERING,FRAMEWORK,FRONTEND,GAME_DEV,GITHUB,HARDWARE_SKILLS,IOS,LINUX,MANAGEMENT,MARKETING,ML,NETWORKING,OOP,OtherSkill,PROBLEM_SOLVING,PROGRAMMING,PYTHON,SERVER,SOFTWARE_DEVELOPMENT,TEAMWORKER,TEST,WEB
1,,,,,,True,,,,,,,,,,,,,True,,,,,,,,
2,,True,True,,True,,,,,,,,,,,,,,True,,,,,,,,
3,,,,,True,True,,,,,,,,,,,,,,,True,,,,,,
5,,,True,True,True,,,,True,,,,,True,,True,,,True,,,,,,,,True
6,,,,,,True,,,,,,,,True,,,,,True,True,,,,,True,,
7,,True,True,True,,,,True,,,,,,,,,,,True,,,,,True,,,
8,,,True,True,,,,,,,,,,,,,,,True,,True,,,,,,
9,,,,,,,,,,,,,,True,,,,,True,True,,,,,True,,
10,,True,True,,True,,,,,,,,,True,,,,True,True,,,,,,,,
11,,,True,True,,,,True,,True,,,True,,,,,,True,,,True,True,True,,,True
12,True,True,True,True,,,,True,,,,,,True,,,True,,True,,,,,True,,True,
13,,,True,,,True,,,,,,,True,,,,,,True,,,,,True,,,True
14,,True,True,True,,,,True,,,,,,,,,,,True,,,,True,,,,
15,,,True,,,,,,True,,,,,,,,,,True,,,,,,,,
16,,,True,,,,,True,True,,,,,,,,,,True,,True,,,,,,
17,,,True,True,,,,True,,True,,,True,,,,,,,,,True,,True,,,
18,,True,True,True,,,,True,,True,,,,,,,,,True,,,,True,,,,True
19,,,,,,True,,,,,,,,True,,,,,True,True,,,,,,,
20,,True,True,True,,,,True,,,,,,,,,,,True,,,,,,,,True
22,,True,True,True,True,,,True,,True,,,,,,,,,True,True,True,,,True,,,True
24,,,True,True,,,,True,,,,,,,,,,True,True,,True,True,,True,True,,True
25,,,True,True,,,,True,,,,,,,,,,,True,,,True,,,,,True
26,True,True,True,True,,,,,,True,,,True,,,,,,True,,,,,True,,,
27,,,True,True,True,True,,True,,,True,,True,,,,,,True,,,True,,True,,,True
28,,,True,True,True,,,True,,True,,,,,,,,,True,,,,,,,,
30,,,True,,True,,,,True,,,,,,,,,True,True,,,,,,,,
31,,,True,,,,True,,,True,True,,True,,,,,,True,,,True,,True,,,
32,,,True,,,,,,,,,,,,,,,,,,,,,,,,
33,,True,True,,True,True,,True,,,,,,True,,,,True,,,,,,True,,,True
34,,True,True,,,True,,,,,True,,,True,,True,,,True,,,,,,,,
35,,True,True,True,,,,True,,,True,,,,,True,,True,True,,True,,,,,,True
36,,True,True,,,,,True,True,,,,,True,,,,,True,True,True,True,,True,,,True
37,,,,,,True,,,,,,,,True,,,,,True,True,,,,,True,,
38,,True,True,True,True,,,True,,True,,,,,,,,,True,,,,True,True,,,True
39,,,True,True,,,True,True,,,True,,,,,,,,True,,,True,,,,True,True
40,,,True,,,True,,,,,,,,,,,,,True,,,,,,,,
41,,True,True,True,,,,,True,,,,,,,True,,,True,,,True,,,,,
42,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,
43,,,True,True,,,,True,,,,,,,,,,,True,,,,True,,,,
44,,True,True,,True,,,True,,,,,,,,,,,True,,True,,,True,True,,True
45,,,True,True,True,,,True,,,,,,True,,,,,True,,,,,,True,,
46,,True,True,True,True,,,True,,True,,,,,,,,,True,,,,,True,,,
47,,,True,,,,,,,,,,True,,,True,,,True,,,,,,,,
48,True,True,True,True,,,,True,,True,,,True,True,,,,True,True,,True,,,,,,
49,,,True,True,,,True,True,,,,,True,,,,,,True,,,,,True,,,True
50,True,,True,True,,,,True,,,,,True,,,,,True,True,,,,,True,True,,
51,,,True,,,,,True,,,,,,,,,,,True,,,,,,,,True
53,,,True,,,,,,,,True,,,True,,,,,True,,,True,,True,,,
54,,,True,,,,,True,,,,,,,,True,,,True,,,True,,,True,,
55,,,True,True,,True,,True,,,True,,True,True,,True,,,True,True,,True,,True,True,,
56,,True,True,True,,,,,,,True,,,,,,,,,,,,,True,,,
57,,True,True,True,,True,True,True,,True,,,,,,,,True,True,,,,,True,,,True
58,,True,True,True,,,,True,,,,,,,,,,True,True,,,True,,,,,True
59,,,True,True,,,,True,,,,,,,,,,,True,,True,,,,,,
60,,True,True,True,,,,True,,,,,,,,,,True,True,,,,,True,,,
61,,True,True,True,,True,,True,,True,,,,,,,,,True,,True,,,True,True,,True
62,,,True,,True,True,,True,,,,,,,,,,,True,True,,True,,,,,
63,True,,True,True,,True,True,True,,True,True,,,,,,,True,True,True,,,True,True,,,True
64,,True,True,True,True,,True,True,,True,,,,,,,,,True,,,,,,,,True
65,,True,,,,,,,,,,,,,,,,,True,,,,,True,,,
66,,True,True,True,,,,,,,,,,,,,,,True,,,,,,,,
67,,,True,True,,,True,True,,,,,,,,,,True,True,,,,True,True,,,
68,,,True,,,,,True,,,True,,True,,,True,,,,,,True,,,,,
70,True,True,True,,,,,True,,True,,,,,,,,True,True,,,True,,True,,,
71,,,True,,,True,,,,,,,,,,,,True,True,,,,,,True,,
72,,True,True,True,,,,True,True,,,,,,,,,,,,,,,,,,
73,,True,True,True,,,,,,,,True,,,,,,True,True,,,,,True,,,
74,,,True,,,True,,,,,,,,True,,,,,True,,,,,,True,,
75,,True,True,True,True,,,True,,True,True,,,,,,,True,True,,,True,,True,,,
76,,,True,,,,,,True,,,,,,,True,,,True,,,,,,,,
77,,,True,,True,,,True,,,,,,,,,,,True,,,,,,,,
79,,True,,,,True,,,,,,,,,,,,,True,,,,,True,,,True
80,,,True,,,,,,,,,,,,,,,,True,,,,,,,,True
81,True,,True,True,,,,True,,,,,True,,,,,,True,,,,True,True,,,
82,,True,True,True,True,,,True,,,,,,,,True,,True,True,,,True,,True,True,,True
83,,True,True,,,True,,,,,,,True,,,,,,,,True,,,True,,,
84,,,True,True,,,,True,True,,,,,,,,,,True,,,,,,,,True
85,,True,True,True,True,,,True,,True,,,True,,,,,True,True,,,,,True,,,True
86,,True,True,True,,,,True,True,,,,,,,,,,,,,,,,,,
87,,,True,True,True,,,True,,,,,,True,,,,,True,,,True,,True,True,,True
88,,,,True,,,,True,,,,,,,,True,,,True,,,True,,True,,,
89,,,True,,,,,True,,,,,,,,,,,True,,,,,,,,
90,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,
91,,,True,True,,,,True,,,,,,,,,,,,,,,,True,,,
